category,file,review_depth,file_lines_not_lines_certified,findings
Interpretation,app/lib/ai/ask-orchestrator.ts,module review,169,A2 A4
Interpretation,app/lib/intelligence/interpret-ask.ts,module review,172,A2 A4
Interpretation,app/lib/intelligence/ask-request-contract.ts,module review,303,A2 A4
Interpretation,app/lib/intelligence/conversation-scope.ts,module review,18,A2 A4
Interpretation,app/lib/intelligence/conversation-read-anchor.ts,module review,73,A2 A4
Interpretation,app/lib/intelligence/request-reference-context.ts,module review,18,A2 A4
Interpretation,app/lib/intelligence/episode-reference-language.ts,module review,14,A2 A4
Interpretation,app/lib/intelligence/generate-ask-history.ts,module review,43,A2 A4
Evidence,app/lib/intelligence/history-retrieval.ts,targeted boundary review,528,A1 A5
Evidence,app/lib/intelligence/ask-evidence.ts,targeted boundary review,411,A1 A5
Evidence,app/lib/intelligence/evidence-needs.ts,module review,43,A1 A5 A9
Evidence,app/lib/intelligence/history-access.ts,module review,69,A1 A5 A9
Evidence,app/lib/ai/context-builder.ts,module review,37,A1 A5 A9
Evidence,app/lib/intelligence/history-obligations.ts,module review,52,A1 A5 A9
Generation,app/lib/ai/ask-reasoning.ts,targeted boundary review,1617,A1 A3 A6 A8
Governance,app/lib/intelligence/run-intelligence.ts,module review,468,A3 A4 A7
Governance,app/lib/intelligence/semantic-event-persistence.ts,module review,61,A3 A4 A7
Governance,app/lib/intelligence/care-history-policy.ts,targeted boundary review,290,A3 A7
Review,app/lib/intelligence/review-history-narrative.ts,targeted boundary review,309,A1 A4 A5 A10
Review,app/lib/intelligence/review-task-completion.ts,module review,217,A4 A5 A10
Review,app/lib/intelligence/history-review-selection.ts,module review,96,A4 A5 A10
Review,app/lib/intelligence/history-review-state.ts,module review,25,A4 A5 A10
Review,app/lib/intelligence/answer-assessment.ts,module review,35,A4 A5 A10
Review,app/lib/intelligence/validation/validate-answer.ts,module review,308,A4 A5 A10
Review,app/lib/intelligence/history-narrative-facts.ts,module review,144,A4 A5 A10
Episodes,app/lib/intelligence/episode-history.ts,module review,285,A2 A4 A9
Episodes,app/lib/intelligence/episode-contract.ts,module review,80,A2 A4 A9
Episodes,app/lib/intelligence/episode-presentation.ts,module review,20,A2 A4 A9
Episodes,app/lib/intelligence/recorded-inventory.ts,targeted boundary review,71,A2 A9
Results and publication,app/lib/intelligence/history-narrative.ts,module review,35,A4 A5
Results and publication,app/lib/intelligence/history-synthesis.ts,module review,94,A4 A5
Results and publication,app/lib/intelligence/read-projection.ts,module review,68,A4 A5
Results and publication,app/lib/intelligence/historical-read-response.ts,module review,132,A4 A5
Results and publication,app/lib/intelligence/structured-history-json.ts,module review,36,A4 A5
