path,classification,current_path,area,decision,evidence,reason,inspection,baseline_sha256,current_sha256
.env.example,KEEP,.env.example,Shared UI/framework/configuration,,tests/security-phase-s2b.test.mjs; tests/security-phase-s2c.test.mjs; tests/security-phase-s2e.test.mjs; tests/security-phase-s2g.test.mjs; tests/security-phase-s2h.test.mjs; tests/sentry-integration.test.mjs,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,30148a4212a0b8a37683d1f6528d8e587aa75592e1d233bd3f0d1c55f847947b,30148a4212a0b8a37683d1f6528d8e587aa75592e1d233bd3f0d1c55f847947b
.gitattributes,KEEP,.gitattributes,Shared UI/framework/configuration,,repository/CI/operator/evidence entry; see feature inventory,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,239f218e9af2ba6c44302c7a273c45360ae2c61b8718e63c35efabb9ff6324c6,239f218e9af2ba6c44302c7a273c45360ae2c61b8718e63c35efabb9ff6324c6
.github/dependabot.yml,KEEP,.github/dependabot.yml,Shared UI/framework/configuration,,tests/security-phase-s2e.test.mjs,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,ed828ef3fd78b50f7168133ef656b625d709282525ed264354d31f4fa0bac368,ed828ef3fd78b50f7168133ef656b625d709282525ed264354d31f4fa0bac368
.github/workflows/ci.yml,KEEP,.github/workflows/ci.yml,Shared UI/framework/configuration,,tests/security-phase-s2e.test.mjs,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,4cb9945dab3db717e1c10d41a8179f2cb24bb6e0c49da4d37b527ecb05e1f5ea,4cb9945dab3db717e1c10d41a8179f2cb24bb6e0c49da4d37b527ecb05e1f5ea
.gitignore,CONSOLIDATE,.gitignore,Shared UI/framework/configuration,,tests/billing-sandbox-e2e-gate.test.mjs; tests/security-phase-s2e.test.mjs,Deduplicate exact rules retaining last occurrence/override order; add disposable tmp and Python bytecode ignores. 1490-path equivalence check passed.,source-reviewed removal/consolidation,08d797bd75b8648bd8770fbdccb7e0bf4f7e0fbc3b39f7ee1540fa3ea641931e,b968978d4187647d6acacde8682c58a6ae4d9ad7f8501ee61929bd3980a2a274
.nvmrc,KEEP,.nvmrc,Shared UI/framework/configuration,,tests/security-phase-s2e.test.mjs,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,68ca3fba3b7e864770cb61aeb306d4bd4354b68ab4dd38450860c5d823e42a53,68ca3fba3b7e864770cb61aeb306d4bd4354b68ab4dd38450860c5d823e42a53
.vercelignore,KEEP,.vercelignore,Shared UI/framework/configuration,,repository/CI/operator/evidence entry; see feature inventory,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,bb3b3a91ebe3b53503fd475b6d333c3dc95553ba439145463486203cf9f16ac8,bb3b3a91ebe3b53503fd475b6d333c3dc95553ba439145463486203cf9f16ac8
AGENTS.md,KEEP,AGENTS.md,Shared UI/framework/configuration,,repository/CI/operator/evidence entry; see feature inventory,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627,e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627
CLAUDE.md,KEEP,CLAUDE.md,Shared UI/framework/configuration,,repository/CI/operator/evidence entry; see feature inventory,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49
README.md,KEEP,README.md,Shared UI/framework/configuration,,repository/CI/operator/evidence entry; see feature inventory,"Required framework/build/type/CI configuration, repository instructions or new reviewed audit infrastructure.",structural/content reference scan; retained conservatively,d7eadb07f452a346638aeca3f100544a8d4f0eb8260b906517aa332a6cbd6ca7,f3b240d5d16740faa1b73766b15b13da2e9e4c83a40dde4d18521be9f22d08be
app/account/layout.tsx,KEEP,app/account/layout.tsx,Account settings,,tests/security-phase-s2a.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,439030d2726775a480f8b087e4229a04e8879a548027172da2f14bbcf60d1b5d,439030d2726775a480f8b087e4229a04e8879a548027172da2f14bbcf60d1b5d
app/account/page.tsx,KEEP,app/account/page.tsx,Account settings,,tests/account-country-ui.test.mjs; tests/account-security-password-change.test.mjs; tests/account-system-final-v1.test.mjs; tests/app-page-container-consistency.test.mjs; tests/auth-routing.test.mjs; tests/final-global-ui-polish.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,67b6fb939e296ed1a0ffaf857ba27a31c0cb41a7490e7c5082493e9d615e0fb1,67b6fb939e296ed1a0ffaf857ba27a31c0cb41a7490e7c5082493e9d615e0fb1
app/api/account/change-password/route.ts,KEEP,app/api/account/change-password/route.ts,Identity/security/data access,,tests/account-security-password-change.test.mjs; tests/password-capability-state.test.mjs; tests/password-recovery-completion-journey.test.mjs; tests/security-phase-s2d.test.mjs; app/api/account/change-password/route.ts; app/settings/security/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,b8596a88e378647ae30793446cbfc3138d545616c275a3b63d3f67b58fc28ba5,b8596a88e378647ae30793446cbfc3138d545616c275a3b63d3f67b58fc28ba5
app/api/account/delete/route.ts,KEEP,app/api/account/delete/route.ts,Account settings,,tests/account-deletion-billing-safety.test.mjs; tests/permanent-delete-recent-auth.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2h.test.mjs; app/api/account/delete/route.ts; app/settings/data-privacy/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,3bb416850661c105e232467eae97636747dce7b6d70614814515d27b700d7c51,3bb416850661c105e232467eae97636747dce7b6d70614814515d27b700d7c51
app/api/account/detect-country/route.ts,KEEP,app/api/account/detect-country/route.ts,Account settings,,tests/account-country.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs; app/api/account/detect-country/route.ts; app/lib/supabase.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,ebfd6392d873dfa8830e27d2d07155a044b7eb8cd4661eeceb38453ee5a2692e,ebfd6392d873dfa8830e27d2d07155a044b7eb8cd4661eeceb38453ee5a2692e
app/api/account/entitlements/route.ts,KEEP,app/api/account/entitlements/route.ts,Subscription/entitlements,,tests/billing-recovery-ux.test.mjs; tests/membership-page.test.mjs; app/lib/pet-limit.ts; app/membership/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,e73a1b0a1fc6f99a33023c2adbc697754679e370249fe4230d69ae5d4be09ac9,e73a1b0a1fc6f99a33023c2adbc697754679e370249fe4230d69ae5d4be09ac9
app/api/account/export/route.ts,KEEP,app/api/account/export/route.ts,Account settings,,tests/permanent-delete-recent-auth.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2h.test.mjs; app/api/account/export/route.ts; app/settings/data-privacy/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,b75b8043b547c2e3af0d0db0ec2005e41e4cdac63c21025ad58f55b6d032e9da,b75b8043b547c2e3af0d0db0ec2005e41e4cdac63c21025ad58f55b6d032e9da
app/api/account/product-country/route.ts,KEEP,app/api/account/product-country/route.ts,Products/catalogue,,tests/account-country-ui.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs; app/api/account/product-country/route.ts; app/lib/supabase.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,15ffe3afa38501f4c6366bb5b0d87fa6efc5ba6b9bcfb69ce959c178eb0d54ef,15ffe3afa38501f4c6366bb5b0d87fa6efc5ba6b9bcfb69ce959c178eb0d54ef
app/api/analyze/route.ts,DECISION NEEDED,app/api/analyze/route.ts,Shared UI/framework/configuration,D2,tests/account-entitlements.test.mjs; tests/security-phase-s1.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2c.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs,Externally callable legacy feature endpoints/provider contract; absence of mounted Results UI does not prove API retirement.,structural/content reference scan; retained conservatively,1d6ea9aa229c23088275c473f0a4f2d97469f7cb7260ed4d018357b2b9e1b2c6,1d6ea9aa229c23088275c473f0a4f2d97469f7cb7260ed4d018357b2b9e1b2c6
app/api/ask/actions/[messageId]/route.ts,KEEP,app/api/ask/actions/[messageId]/route.ts,Ask/intelligence/actions,,tests/ask-action-capability-v1.test.mjs; tests/ask-core-invariants.test.mjs; tests/ask-grief-lifecycle-regression.test.mjs; tests/furvise-conversational-architecture-v1.test.mjs; tests/security-phase-s2d.test.mjs; app/api/ask/actions/[messageId]/route.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,a00380606b3d22a46ecdf7b856d9b44e24c33211a2f1aa09ef3bfca16c7b8d2a,a00380606b3d22a46ecdf7b856d9b44e24c33211a2f1aa09ef3bfca16c7b8d2a
app/api/ask/conversations/[id]/messages/route.ts,KEEP,app/api/ask/conversations/[id]/messages/route.ts,Ask/intelligence/actions,,tests/ask-conversation-authority-lock.test.mjs; tests/ask-vet-workflow-redesign.test.mjs; tests/security-phase-s1.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs; app/api/ask/conversations/[id]/messages/route.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,c575e9468c93ee5b7f223b487ac03c7e5f2aa822a1076059c2232c2c9ec9ae97,c575e9468c93ee5b7f223b487ac03c7e5f2aa822a1076059c2232c2c9ec9ae97
app/api/ask/conversations/[id]/route.ts,KEEP,app/api/ask/conversations/[id]/route.ts,Ask/intelligence/actions,,tests/ask-conversation-authority-lock.test.mjs; tests/ask-reliability-signout.test.mjs; tests/ask-state-suggestion-persistence.test.mjs; tests/security-phase-s1.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,3e45a921199a320d0854a273113256817a958e8d74826db21d622ad0b8262433,3e45a921199a320d0854a273113256817a958e8d74826db21d622ad0b8262433
app/api/ask/conversations/route.ts,KEEP,app/api/ask/conversations/route.ts,Ask/intelligence/actions,,tests/ask-conversation-authority-lock.test.mjs; tests/ask-reliability-signout.test.mjs; tests/ask-vet-workflow-redesign.test.mjs; tests/security-phase-s1.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,5b9870bad70f33614098bfc4fe90bbaefec1ab44e11f9fce2cad15d567af0033,5b9870bad70f33614098bfc4fe90bbaefec1ab44e11f9fce2cad15d567af0033
