original_path,original_lines,current_owner,decision,current_lines,direct_app_consumers,runtime_imports
app/lib/account-country.ts,116,app/lib/account-country.ts,retained; static dependency scan,116,,
app/lib/active-pet.ts,13,app/lib/active-pet.ts,retained; static dependency scan,13,app/ask/page.tsx;app/lib/pet-delete-client-state.ts;app/lib/sign-out.ts;app/onboarding/page.tsx;app/today/page.tsx,
app/lib/add-pet-validation.ts,18,app/lib/pet-profile-editing.ts,consolidated,108,app/dogs/[id]/edit/page.tsx;app/lib/pet-profile-api-server.ts;app/onboarding/page.tsx,app/lib/petwise;app/lib/petwise.ts
app/lib/ai/ask-admission-settlement.ts,44,app/lib/ai/ask-admission-settlement.ts,retained; static dependency scan,44,app/api/ask/route.ts,
app/lib/ai/ask-answer-economy.ts,556,app/lib/ai/ask-answer-economy.ts,retained; static dependency scan,556,app/lib/ai/ask-orchestrator.ts;app/lib/ai/ask-reasoning.ts;app/lib/intelligence/validation/validate-answer.ts,app/lib/ai/text-segmentation.ts
app/lib/ai/ask-command-router.ts,94,app/lib/ai/ask-command-router.ts,retained; static dependency scan,94,app/api/ask/route.ts,app/lib/furvise-output.ts
app/lib/ai/ask-error-diagnostic.ts,10,app/lib/ai/ask-error-diagnostic.ts,retained; static dependency scan,10,app/api/ask/route.ts,
app/lib/ai/ask-internal-product-policy.ts,63,app/lib/ai/ask-internal-product-policy.ts,retained; static dependency scan,63,app/api/ask/route.ts;app/lib/intelligence/validation/validate-answer.ts,
app/lib/ai/ask-orchestrator.ts,170,app/lib/ai/ask-orchestrator.ts,retained; static dependency scan,170,app/api/ask/route.ts;app/lib/ai/ask-command-router.ts,app/lib/ai/ask-answer-economy.ts;app/lib/ai/concern-engine.ts;app/lib/ai/recovery-subject.ts;app/lib/ai/response-planner.ts;app/lib/ai/turn-classifier.ts;app/lib/intelligence/care-history-policy.ts
app/lib/ai/ask-provider.ts,127,app/lib/ai/ask-provider.ts,retained; static dependency scan,127,app/lib/ai/ask-reasoning.ts;app/lib/ai/usage-guard/features.ts;app/lib/intelligence/interpret-ask.ts;app/lib/intelligence/review-history-narrative.ts;app/lib/intelligence/semantic-frame/extract-turn-subject.ts,
